water_year,water_year_type,region,month,prop_above_threshold,n,min_temp,max_temp,mean_temp,first_day_exceeded
1995,Wet,Sacramento River,3,0,31,10.5982,12.9541,11.76035806451613,NA
1995,Wet,Sacramento River,4,0,30,11.8014,14.8798,13.212736666666666,NA
1995,Wet,Yolo Bypass,3,0.1935483870967742,31,13.7638,15.4033,14.602616129032258,16
1995,Wet,Yolo Bypass,4,0,30,12.1551,15.9073,13.8896,NA
1996,Wet,Sacramento River,3,0,31,10.1739,14.5338,12.67947741935484,NA
1996,Wet,Sacramento River,4,0,30,12.8304,16.346800000000002,14.47711,NA
1996,Wet,Yolo Bypass,3,0.12903225806451613,31,12.2647,15.5656,13.774135483870968,20
1996,Wet,Yolo Bypass,4,0,30,14.0696,16.7895,15.418396666666666,NA
1997,Wet,Sacramento River,3,0.2903225806451613,31,11.4797,16.3982,13.677929032258064,23
1997,Wet,Sacramento River,4,0.4,30,13.039,18.7544,15.935043333333333,17
1997,Wet,Yolo Bypass,3,0.45161290322580644,31,11.7473,17.8389,14.644867741935483,18
1997,Wet,Yolo Bypass,4,0.4666666666666667,30,13.2568,19.067,16.00728,17
1998,Wet,Sacramento River,3,0,31,10.7896,14.3922,12.626367741935484,NA
1998,Wet,Sacramento River,4,0,30,11.9094,16.7993,13.77794,NA
1998,Wet,Yolo Bypass,3,0.3548387096774194,31,12.8593,16.4943,14.549235483870968,17
1998,Wet,Yolo Bypass,4,0.23333333333333334,30,13.519,19.3506,15.340753333333334,22
1999,Wet,Sacramento River,3,0,31,10.2705,12.7644,11.570551612903225,NA
1999,Wet,Sacramento River,4,0,30,11.1648,16.2526,13.71722,NA
1999,Wet,Yolo Bypass,3,0,31,12.1028,14.1865,12.969293548387096,NA
1999,Wet,Yolo Bypass,4,0.1,30,11.1079,17.3011,14.042436666666667,18
2000,Above Normal,Sacramento River,3,0,31,10.9895,14.4547,12.691248387096774,NA
2000,Above Normal,Sacramento River,4,0.23333333333333334,30,14.4805,17.4562,16.173256666666667,12
2000,Above Normal,Yolo Bypass,3,0.22580645161290322,31,12.6884,15.541,14.076516129032258,25
2000,Above Normal,Yolo Bypass,4,0.36666666666666664,30,14.9108,18.2534,16.843876666666667,11
2001,Dry,Sacramento River,3,0.41935483870967744,31,10.7306,17.5596,14.280503225806452,19
2001,Dry,Sacramento River,4,0.23333333333333334,30,13.3819,18.8031,15.741633333333333,1
2001,Dry,Yolo Bypass,3,0.45161290322580644,31,11.7605,18.19,14.781603225806451,18
2001,Dry,Yolo Bypass,4,0.23333333333333334,30,13.2316,18.1447,15.249886666666667,1
2002,Dry,Sacramento River,3,0.03225806451612903,31,11.5785,15.1827,12.692287096774194,31
2002,Dry,Sacramento River,4,0.1,30,14.6217,17.8022,16.106096666666666,13
2002,Dry,Yolo Bypass,3,0.0967741935483871,31,12.2546,16.5766,13.693209677419354,29
2002,Dry,Yolo Bypass,4,0.26666666666666666,30,14.6287,18.4136,16.382576666666665,1
2003,Above Normal,Sacramento River,3,0.3225806451612903,31,11.9208,15.759,14.04031935483871,13
2003,Above Normal,Sacramento River,4,0,30,13.4473,15.9093,14.754256666666667,NA
2003,Above Normal,Yolo Bypass,3,0.5483870967741935,31,12.6584,17.0877,14.894387096774194,12
2003,Above Normal,Yolo Bypass,4,0,30,14.3388,16.642,15.278513333333333,NA
2004,Below Normal,Sacramento River,3,0.41935483870967744,31,11.2432,16.607,14.264567741935483,15
2004,Below Normal,Sacramento River,4,0.16666666666666666,30,14.2492,18.8136,15.609936666666666,26
2004,Below Normal,Yolo Bypass,3,0.6774193548387096,31,12.78,18.2247,15.995303225806452,11
2004,Below Normal,Yolo Bypass,4,0.26666666666666666,30,14.8893,19.2019,16.428956666666668,11
2005,Above Normal,Sacramento River,3,0.3548387096774194,31,12.8364,16.7876,14.447790322580644,9
2005,Above Normal,Sacramento River,4,0,30,14.047,16.9767,15.30154,NA
2005,Above Normal,Yolo Bypass,3,0.8387096774193549,31,14.5521,17.4526,16.100654838709676,6
2005,Above Normal,Yolo Bypass,4,0.13333333333333333,30,14.4189,17.9691,15.823506666666667,27
2006,Wet,Sacramento River,3,0,31,10.2908,12.2894,11.08584193548387,NA
2006,Wet,Sacramento River,4,0,30,11.4253,15.6906,12.894803333333334,NA
2006,Wet,Yolo Bypass,3,0,31,12.4951,14.2907,13.205206451612904,NA
2006,Wet,Yolo Bypass,4,0.03333333333333333,30,13.7737,17.2818,14.920606666666666,30
2007,Dry,Sacramento River,3,0.45161290322580644,31,9.6623,17.0524,14.054877419354838,15
2007,Dry,Sacramento River,4,0.16666666666666666,30,14.1793,19.751,16.293023333333334,7
2007,Dry,Yolo Bypass,3,0.6451612903225806,31,11.5564,17.8716,15.502506451612904,12
2007,Dry,Yolo Bypass,4,0.3333333333333333,30,14.3437,18.8564,16.229953333333334,4
2008,Critical,Sacramento River,3,0.25806451612903225,31,12.3065,15.9689,14.135764516129033,23
2008,Critical,Sacramento River,4,0.16666666666666666,30,14.4314,17.6672,15.848996666666666,13
2008,Critical,Yolo Bypass,3,0.41935483870967744,31,12.9743,16.3794,14.704632258064516,12
2008,Critical,Yolo Bypass,4,0.06666666666666667,30,13.9917,17.4994,15.31599,28
2009,Dry,Sacramento River,3,0.16129032258064516,31,11.7273,15.704,13.57211935483871,21
2009,Dry,Sacramento River,4,0.2,30,13.8222,18.8407,15.564543333333333,20
2009,Dry,Yolo Bypass,3,0.2903225806451613,31,12.5314,16.1756,14.133854838709677,19
2009,Dry,Yolo Bypass,4,0.13333333333333333,30,13.442,18.5631,15.28378,21
2010,Below Normal,Sacramento River,3,0.3548387096774194,31,11.7673,15.6773,13.524270967741936,21
2010,Below Normal,Sacramento River,4,0,30,12.8447,16.9546,14.65628,NA
2010,Below Normal,Yolo Bypass,3,0.3548387096774194,31,12.3886,16.2512,14.171096774193549,21
2010,Below Normal,Yolo Bypass,4,0.03333333333333333,30,13.5705,17.0118,15.003993333333334,27
2011,Wet,Sacramento River,3,0,31,9.6956,12.7906,11.302283870967742,NA
2011,Wet,Sacramento River,4,0,30,12.8012,14.759,13.64806,NA
2011,Wet,Yolo Bypass,3,0,31,10.5728,14.5028,13.031377419354838,NA
2011,Wet,Yolo Bypass,4,0,30,12.9042,15.6398,14.31948,NA
